"ID","釣り方","レベル","種類","メーカー","商品名","番手・モデル","商品画像URL","状態"
"097","バス釣り","初級者","ロッド","DAIWA","バス X","6.6ft前後・ML","","未設定"
"098","バス釣り","初級者","ロッド","SHIMANO","バスワン XT+","S66ML","","未設定"
"099","バス釣り","初級者","リール","DAIWA","23 レガリス","LT2500S-XH","","未設定"
"100","バス釣り","初級者","リール","SHIMANO","サハラ","C2500","","未設定"
"101","バス釣り","中級者","ロッド","DAIWA","タトゥーラ","6.6〜7ft・ML〜M","","未設定"
"102","バス釣り","中級者","ロッド","SHIMANO","エクスプライド","166ML","","未設定"
"103","バス釣り","中級者","リール","DAIWA","タトゥーラ SV TW","SV TW","","未設定"
"104","バス釣り","中級者","リール","SHIMANO","バスワン XT","バスワンXT","","未設定"
"105","バス釣り","上級者","ロッド","DAIWA","スティーズ（ベイトキャスティングモデル）","用途別専用モデル","","未設定"
"106","バス釣り","上級者","ロッド","SHIMANO","ポイズンアドレナ","用途別専用モデル","","未設定"
"107","バス釣り","上級者","リール","DAIWA","スティーズ SV TW","SV TW","","未設定"
"108","バス釣り","上級者","リール","SHIMANO","アンタレス DC","アンタレスDC","","未設定"
"109","サビキ釣り","初級者","ロッド","DAIWA","リバティクラブ 小継磯 2-330","2-330","","未設定"
"110","サビキ釣り","初級者","ロッド","SHIMANO","ホリデー磯","1.5-330","","未設定"
"111","サビキ釣り","中級者","ロッド","DAIWA","リバティクラブ 磯風","3号前後・3.6〜4.5m","","未設定"
"112","サビキ釣り","中級者","ロッド","SHIMANO","ホリデー磯","2-450","","未設定"
"113","サビキ釣り","上級者","ロッド","DAIWA","波濤 1.5-45・N","1.5-45・N","","未設定"
"114","サビキ釣り","上級者","ロッド","SHIMANO","磯 遠投 AX","1.5-450","","未設定"
